Time,X_pose_uav,Y_pose_uav,Z_pose_uav,R_pose_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,R_cmd_vel
1701197632.3851423,-0.20089853367496815,-0.01732499066090821,-1.142050515577621,0,0,0,0,0
1701197632.418609,-0.20197234683497733,-0.018389853156227532,-1.1508930190331013,0,0,0,0,0
1701197632.4563274,-0.20274715472179886,-0.019047078565994805,-1.1485471640831943,0,0,0,0,0
1701197632.494327,-0.2045528548790148,-0.02215582666675536,-1.1576632350104177,0,0,0,0,0
1701197632.523422,-0.20438892636955908,-0.02562694196249134,-1.1567590155194485,0,0,0,0,0
1701197632.555701,-0.2062055738122927,-0.027390671144290515,-1.165355295665994,0,0,0,0,0
1701197632.5962398,-0.2076876744307251,-0.02863028326209228,-1.170144909797953,0,0,0,0,0
1701197632.6210093,-0.2084635665914598,-0.02795546244148469,-1.1706823016790742,0,0,0,0,0
1701197632.656902,-0.20892721519568772,-0.026620088497514897,-1.172871112215699,0,0,0,0,0
1701197632.6884,-0.21068500078262384,-0.02568644253613996,-1.1774888239354089,0,0,0,0,0
1701197632.739221,-0.21014988473808782,-0.02452399198558487,-1.1696925074802145,0,0,0,0,0
1701197632.7560241,-0.21173985581759192,-0.023643739645613473,-1.1772652129000798,0,0,0,0,0
1701197632.7853537,-0.21370130078959715,-0.024109470107183346,-1.1824015053793975,0,0,0,0,0
1701197632.8212113,-0.21476985018332348,-0.025927468676016883,-1.1885948250031975,0,0,0,0,0
1701197632.8533459,-0.2146209606973299,-0.028259957162086322,-1.1832778436655484,0,0,0,0,0
1701197632.8901587,-0.2166597035737351,-0.032084467041511994,-1.1974189028690208,0,0,0,0,0
1701197632.9223511,-0.21580918032379023,-0.03297865197121122,-1.1919342082446578,0,0,0,0,0
1701197632.9545074,-0.21539757460794695,-0.03447905083901918,-1.1855932094111379,0,0,0,0,0
1701197632.9882815,-0.21642133563295626,-0.03576241763737144,-1.1932584251126068,0,0,0,0,0
1701197633.0229564,-0.2177494276594326,-0.03698248100746782,-1.1991362497757225,0,0,0,0,0
1701197633.054209,-0.21879922645703914,-0.03691245975536561,-1.2052770101082764,0,0,0,0,0
1701197633.0889034,-0.21878969309233914,-0.035501827847338165,-1.2051941040261125,0,0,0,0,0
1701197633.1467645,-0.21978612040640721,-0.0347263107001511,-1.2028073774634267,0,0,0,0,0
1701197633.164394,-0.22139434322860907,-0.033886427977538026,-1.2103432646180419,0,0,0,0,0
1701197633.187243,-0.21983110707822276,-0.03488032145992424,-1.1986064956293592,0,0,0,0,0
1701197633.2188907,-0.2215665538734121,-0.03687478891485645,-1.206800824089138,0,0,0,0,0
1701197633.2543283,-0.22258906802245057,-0.038918043765888484,-1.204647046544368,0,0,0,0,0
1701197633.3089936,-0.22296575714534989,-0.03828146056471521,-1.2068395002797998,0,0,0,0,0
1701197633.3224702,-0.2228623954550071,-0.03767914807401619,-1.1979273573401774,0,0,0,0,0
1701197633.356433,-0.22667888202513664,-0.03814735508599854,-1.2143088934917041,0,0,0,0,0
1701197633.4054756,-0.22534464395403686,-0.03892440532743098,-1.2028208341257083,0,0,0,0,0
1701197633.423573,-0.22558603093020743,-0.03978441326924518,-1.1981363912064957,0,0,0,0,0
1701197633.4537258,-0.2276480714836766,-0.04249249417340309,-1.2063689285560966,0,0,0,0,0
1701197633.4858062,-0.22698646626100885,-0.04258360289395052,-1.1982605571919522,0,0,0,0,0
1701197633.518649,-0.22836294265725252,-0.04257692649629329,-1.1981987347705507,0,0,0,0,0
1701197633.5526783,-0.23064426594764945,-0.04106362112250076,-1.205224229062262,0,0,0,0,0
1701197633.5897138,-0.2317937928256545,-0.04105976633008439,-1.2060865132403238,0,0,0,0,0
1701197633.6211379,-0.23317959680011452,-0.041053014630712745,-1.2060231356002469,0,0,0,0,0
1701197633.6512458,-0.2334738666437721,-0.04041485759995997,-1.1963500046293227,0,0,0,0,0
1701197633.6873949,-0.23606114117959456,-0.04093333369379703,-1.2026973274536152,0,0,0,0,0
1701197633.7190125,-0.23498468507562828,-0.04265414579546053,-1.1897758661559141,0,0,0,0,0
1701197633.7546756,-0.2371985601702759,-0.04605360756404906,-1.1905032464838807,0,0,0,0,0
1701197633.7775183,-0.2366480567142416,-0.04829099316040589,-1.1841533781248954,0,0,0,0,0
1701197633.8204677,-0.2385190655405742,-0.05104557973405072,-1.1852262151696282,0,0,0,0,0
1701197633.8726995,-0.24167215816640822,-0.05311497731813284,-1.1929409474293484,0,0,0,0,0
1701197633.8890536,-0.24001040805216164,-0.05321088464811025,-1.1788883408901494,0,0.0,0.0,0.2,0.0
1701197633.9195478,-0.24135242506105997,-0.05182287710968876,-1.1802251011606444,0,0.0,0.0,0.2,0.0
1701197633.9609094,-0.2449576178094678,-0.05097600235764401,-1.1920491233172947,0,0.0,0.0,0.2,0.0
1701197633.9917572,-0.24393663220818979,-0.048314638303865336,-1.1779312496282368,0,0.0,0.0,0.2,0.0
1701197634.0274713,-0.24340547549671107,-0.04698605721790758,-1.1703457789671576,0,0.0,0.0,0.2,0.0
1701197634.052128,-0.24516529007334706,-0.04554033289221946,-1.175752615328125,0,0.0,0.0,0.2,0.0
1701197634.0886858,-0.24650641042577887,-0.04415595496967868,-1.1756139534498944,0,0.0,0.0,0.2,0.0
1701197634.1200962,-0.2484979689923034,-0.044031399384198575,-1.1738498986787484,0,0.0,0.0,0.2,0.0
1701197634.1535015,-0.24843750672255538,-0.04416344546781209,-1.1684040541518306,0,0.0,0.0,0.2,0.0
1701197634.1876545,-0.24799179656621134,-0.04432708661828145,-1.162952136474915,0,0.0,0.0,0.2,0.0
1701197634.2200935,-0.25113294887002274,-0.04621457045352516,-1.1701754076299562,0,0.0,0.0,0.2,0.0
1701197634.2540717,-0.25225797812979517,-0.04894835497324066,-1.1709752291401305,0,0.0,0.0,0.2,0.0
1701197634.288546,-0.25318486630624204,-0.051714920701081794,-1.1703648898976229,0,0.0,0.0,0.2,0.0
1701197634.3212612,-0.2536542350592627,-0.05306121670191842,-1.1712287632926721,0,0.0,0.0,0.2,0.0
1701197634.3545787,-0.2558754337785167,-0.05514782976197609,-1.17681971537121,0,0.0,0.0,0.2,0.0
1701197634.38931,-0.252944179512396,-0.05521932436500897,-1.1578078511731524,0,0.0,0.0,0.2,0.0
1701197634.4197898,-0.2575959758568188,-0.05852663750967235,-1.1766382552284604,0,0.0,0.0,0.2,0.0
1701197634.452554,-0.25964269491823094,-0.05922129704820756,-1.1830994666326442,0,0.0,0.0,0.2,0.0
1701197634.486563,-0.25824570450580764,-0.05995928022648234,-1.1765473876126036,0,0.0,0.0,0.2,0.0
1701197634.5216384,-0.2597718700130638,-0.06137350045540815,-1.1786924728190575,0,0.0,0.0,0.2,0.0
1701197634.558747,-0.2618063985132295,-0.06342129310966696,-1.1850361168850725,0,0.0,0.0,0.2,0.0
1701197634.586523,-0.2645860271250441,-0.06624471932826681,-1.1981284606148745,0,0.0,0.0,0.2,0.0
